Red circle,Red circle (1)
Red triangle,Red triangle (3)
Red square,Red square (4)
Red pentagon,Red pentagon (5)
Orange circle,Orange circle (2)
Orange triangle,Orange triangle (6)
Orange square,Orange square (8)
Orange pentagon,Orange pentagon (10)
Yellow circle,Yellow circle (3)
Yellow triangle,Yellow triangle (9)
Yellow square,Yellow square (12)
Yellow pentagon,Yellow pentagon (15)
Green circle,Green circle (4)
Green triangle,Green triangle (12)
Green square,Green square (16)
Green pentagon,Green pentagon (20)
Blue circle,Blue circle (5)
Blue triangle,Blue triangle (15)
Blue square,Blue square (20)
Blue pentagon,Blue pentagon (25)
Indigo circle,Indigo circle (6)
Indigo triangle,Indigo triangle (18)
Indigo square,Indigo square (24)
Indigo pentagon,Indigo pentagon (30)
Violet circle,Violet circle (7)
Violet triangle,Violet triangle (21)
Violet square,Violet square (28)
Violet pentagon,Violet pentagon (35)
